_id,Name,Definition,Img,Type
5ec8ac0262d52f6c5cc7e994,Comedy,"a play, film or TV show that is intended to be funny, usually with a happy ending; plays, films and TV shows of this type",https://pixabay.com/vi/photos/munsters-jerry-gwynne-yvonne-decarlo-400991/,Entertainment
5ec8ac0262d52f6c5cc7e99a,Angry,having strong feelings about something that you dislike very much or about an unfair situation,https://pixabay.com/vi/photos/t%E1%BB%A9c-gi%E1%BA%ADn-x%E1%BA%A5u-b%E1%BB%8B-c%C3%B4-l%E1%BA%ADp-nguy-hi%E1%BB%83m-18615/,Emotions
5ec8ac0262d52f6c5cc7e999,Web," a system for finding information on the internet, in which documents are connected to other documents",https://pixabay.com/vi/photos/fortnite-tr%C3%B2-ch%C6%A1i-video-tr%C3%B2-ch%C6%A1i-4682621/,Entertainment
5ec8ac0262d52f6c5cc7e99e,Annoyed,slightly angry,https://pixabay.com/vi/photos/t%C3%ADch-c%E1%BB%B1c-con-hung-h%C4%83ng-tr%E1%BA%BB-em-b%C3%A9-1748701/,Emotions
5ec8ac0262d52f6c5cc7e99f,Anxious,feeling worried or nervous,https://pixabay.com/vi/photos/tr%E1%BA%A7m-ng%C3%A2m-lo-l%E1%BA%AFng-quan-t%C3%A2m-863669/,Emotions
5ec8ac0262d52f6c5cc7e9a4,Bulb,"the glass part that fits into an electric lamp, etc. to give light when it is switched on",https://pixabay.com/vi/photos/%C4%91%C3%A8n-%C3%A1nh-s%C3%A1ng-b%C3%B3ng-%C4%91%C3%A8n-3489394/,Equipments
5ec8ac0262d52f6c5cc7e9a3,Shy,(of people) nervous or embarrassed about meeting and speaking to other people,https://pixabay.com/vi/photos/nh%C3%BAt-nh%C3%A1t-sexy-%C4%91%E1%BA%B9p-c%C3%B4-g%C3%A1i-t%C3%B3c-v%C3%A0ng-863056/,Emotions
5ec8ac0262d52f6c5cc7e9a9,Chair,"a piece of furniture for one person to sit on, with a back, a seat and four legs",https://pixabay.com/vi/photos/gh%E1%BA%BF-b%C3%B3ng-l%E1%BB%85-k%E1%BB%B7-ni%E1%BB%87m-n%E1%BB%99i-th%E1%BA%A5t-tr%E1%BA%AFng-731171/,Equipments
5ec8ac0262d52f6c5cc7e9a8,Shower,a piece of equipment producing a flow of water that you stand under to wash yourself; the small room or part of a room that contains a shower,https://pixabay.com/vi/photos/t%E1%BA%AFm-n%C6%B0%E1%BB%9Bc-%C6%B0%E1%BB%9Bt-ph%C3%B2ng-t%E1%BA%AFm-l%E1%BA%A1ch-nh%E1%BB%8F-653671/,Equipments
5ec8ac0262d52f6c5cc7e99d,Afraid,feeling fear; frightened because you think that you might be hurt or suffer,https://pixabay.com/vi/photos/bu%E1%BB%93n-t%E1%BB%91i-s%E1%BB%A3-%E1%BA%A9n-face-s%E1%BB%A3-h%C3%A3i-516702/,Emotions
5ec8ac0262d52f6c5cc7e9a2,Scared,?frightened of something or afraid that something bad might happen,https://pixabay.com/vi/photos/s%E1%BB%A3-h%C3%A3i-lo-l%E1%BA%AFng-ho%E1%BA%A3ng-lo%E1%BA%A1n-gi%E1%BA%A3m-s%E1%BB%91c-2175161/,Emotions
5ec8ac0262d52f6c5cc7e9a7,Rocket,a spacecraft in the shape of a tube that is driven by a stream of gases let out behind it when fuel is burned inside,https://pixabay.com/vi/photos/v%E1%BB%A5-n%E1%BB%95-off-t%C3%AAn-l%E1%BB%ADa-c%E1%BA%A5t-c%C3%A1nh-nasa-67649/,Equipments
5ec8adb4bf599355f4d3ae2b,Bath,"a large, long container that you put water in and then get into to wash your whole body",https://pixabay.com/vi/photos/ph%C3%B2ng-t%E1%BA%AFm-t%E1%BA%AFm-b%E1%BB%93n-t%E1%BA%AFm-nh%C3%A0-spa-4805846/,Equipments
5ec8adb4bf599355f4d3ae31,Car,a road vehicle with an engine and four wheels that can carry a small number of passengers,https://pixabay.com/vi/photos/%C3%B4-t%C3%B4-xe-c%E1%BB%95-%C4%91i%E1%BB%83n-t%E1%BB%B1-%C4%91%E1%BB%99ng-c%E1%BB%95-1209732/,Equipments
5ec8adb4bf599355f4d3ae32,Television,a piece of electrical equipment with a screen on which you can watch programmes with moving pictures and sounds,https://pixabay.com/vi/photos/tv-tr%E1%BA%BB-em-phim-ho%E1%BA%A1t-h%C3%ACnh-phim-5017859/,Equipments
5ec937101df2802698384ade,wev,asdas,false,Food
